name,author,publisher,genre,read
Narnia Günlükleri 6: Gümüş Sandalye,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Narnia Günlükleri 7: Son Savaş,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Percy Jackson 1: Şimşek Hırsızı,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Evet
Percy Jackson 2: Canavarlar Denizi,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Evet
Percy Jackson 3: Titan'ın Laneti,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Evet
Percy Jackson 5: Son Olimposlu,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Evet
Percy Jackson 6: Melez Dosyaları,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Evet
Şifrelerin Matematiği: Kriptografi,Çok Yazar,Odtü Geliştirme Vakfı Yayıncılık,Bilim,Hayır
Olimpos Kahramanları 1: Kayıp Kahraman,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Olimpos Kahramanları 2: Neptün'ün Oğlu,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Kane Günceleri 1: Kırmızı Piramit,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Kane Günceleri 2: Ateş Tahtı,Rick Riordan,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Birinci Dünya Savaşı,Michael Howard,Dost Kitabevi,Tarih,Hayır
Yunan ve Roma Mitolojisi,Estin ve Laporte,Tübitak,Mitoloji,Hayır
Rakı Balık Ayvalık,Acurol ve Acurol,İş Bankası Kültür Yayınları,Yemek,Hayır
Usta ile Margarita,Mihail Bulgakov,İletişim Yayınları,Modern Klasik,Hayır
Sherlock Holmes: Baskerville Tazısı,Arthur Conan Doyle,Plato Film Yayınları,Roman,Evet
Sherlock Holmes: Korku Vadisi,Arthur Conan Doyle,Güncel Yayıncılık,Roman,Hayır
Cehennem,Dan Brown,Altın Kitaplar,Roman,Hayır
Aşk,Elif Şafak,Doğan Kitap,Roman,Evet
Kutsal Kitap,Tanrı,Yeni Yaşam Yayınları,Din,Hayır
İhtiyarlara Yer Yok,Cormac McCarthy,İthaki,Roman,Hayır
Karanlıkta Fısıldayan,H. P. Lovecraft,İthaki,Korku,Evet
Tom Bombadil'in Maceraları,J. R. R. Tolkien,İthaki,Fantastik,Hayır
Roverandom,J. R. R. Tolkien,İthaki,Fantastik,Hayır
Hobbit,J. R. R. Tolkien,İthaki,Fantastik,Evet
Ham'li Çiftçi Giles,J. R. R. Tolkien,İthaki,Fantastik,Hayır
Büyük Wootton Demircisi,J. R. R. Tolkien,İthaki,Fantastik,Hayır
Gülün Adı,Umberto Eco,Can Yayınları,Roman,Hayır
Silmarillion,J. R. R. Tolkien,İthaki,Fantastik,Hayır
1. Dünya Savaşı - Resimli Harp Tarihi,Ian Westvel,İş Bankası Kültür Yayınları,Tarih,Hayır
2. Dünya Savaşı - Resimli Harp Tarihi,Donald Sommerville,İş Bankası Kültür Yayınları,Tarih,Hayır
Kızıl Darı Tarlaları,Mo Yan,Can Yayınları,Roman,Hayır
İri Memeler ve Geniş Kalçalar,Mo Yan,Can Yayınları,Roman,Hayır
Tuhaf Masallar,Ransom Riggs,İthaki,Fantastik,Hayır
